timestamp,position,fuel,prev_mw,curr_mw,delta_mw,limit_mw,excess_mw,nd_input_jump_mw
2026-04-18 14:00:00+10:00,seam,coal_brown,2062.2,2702.5,640.3,268.4,371.3,266.7
2026-05-30 14:00:00+10:00,seam,coal_brown,2497.8,3131.6,633.8,268.4,364.8,341.1
2026-05-25 14:00:00+10:00,seam,coal_brown,4055.2,4686.3,631.1,268.4,362.1,635.5
2026-04-26 14:00:00+10:00,seam,coal_brown,2103.8,2731.3,627.6,268.4,358.6,306.1
2026-02-21 14:00:00+10:00,seam,coal_brown,2043.6,2669.2,625.6,268.4,356.6,173.3
2026-06-18 14:00:00+10:00,seam,coal_brown,2470.0,3094.2,624.2,268.4,355.2,795.6
2026-04-25 14:00:00+10:00,seam,coal_brown,1805.2,2426.3,621.2,268.4,352.2,71.5
2026-01-04 14:00:00+10:00,seam,coal_brown,1447.0,2066.4,619.4,268.4,350.4,425.8
2026-01-16 14:00:00+10:00,seam,coal_brown,1160.3,1773.0,612.7,268.4,343.7,286.9
2026-03-26 14:00:00+10:00,seam,coal_brown,2030.3,2627.1,596.8,268.4,327.8,583.3
2026-03-20 14:00:00+10:00,seam,coal_brown,2627.8,3222.5,594.7,268.4,325.7,259.0
2026-02-02 14:00:00+10:00,seam,coal_brown,1203.3,1797.5,594.2,268.4,325.2,148.5
2026-06-28 14:00:00+10:00,seam,coal_brown,3541.4,4132.2,590.9,268.4,321.9,499.6
2026-05-15 14:00:00+10:00,seam,coal_brown,2109.1,2697.3,588.3,268.4,319.3,561.7
2026-06-03 14:00:00+10:00,seam,coal_brown,2313.6,2895.7,582.1,268.4,313.1,596.4
2026-06-16 14:00:00+10:00,seam,coal_brown,3532.8,4111.1,578.3,268.4,309.3,560.7
2026-06-08 14:00:00+10:00,seam,coal_brown,2636.0,3212.2,576.2,268.4,307.2,393.5
2026-05-12 14:00:00+10:00,seam,coal_brown,3406.1,3977.9,571.8,268.4,302.8,384.5
2026-02-06 14:00:00+10:00,seam,coal_brown,1980.1,2548.7,568.6,268.4,299.6,152.8
2026-06-04 14:00:00+10:00,seam,coal_brown,3612.1,4178.0,566.0,268.4,297.0,627.3
2026-02-20 14:00:00+10:00,seam,coal_brown,2718.5,3283.5,565.0,268.4,296.0,560.5
